ID,Plot,Species,Aboveground,Belowground,Harvest Notes,Height (cm),Diameter Base (cm),TotalWetMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),Leaf Count,LeafAveMass,TotalLeafMass,Area.1,AreaC.1,WetMass.1,TotArea.1,Area.2,AreaC.2,TotArea.2,WetMass.2,Area.3,AreaC.3,TotArea.3,WetMass.3,Area.4,AreaC.4,TotArea.4,WetMass.4,Area.5,AreaC.5,TotArea.5,WetMass.5,Area.6,AreaC.6,TotArea.6,WetMass.6,Area.7,AreaC.7,TotArea.7,WetMass.7,Area.8,AreaC.8,TotArea.8,WetMass.8,Area.9,AreaC.9,TotArea.9,WetMass.9,Area.10,AreaC.10,TotArea.10,WetMass.10,Area.11,AreaC.11,TotArea.11,WetMass.11,Area.12,AreaC.12,TotArea.12,WetMass.12,Area.13,AreaC.13,TotArea.13,WetMass.13,Area.14,AreaC.14,TotArea.14,WetMass.14,Area.15,AreaC.15,TotArea.15,WetMass.15,Area.16,AreaC.16,TotArea.16,WetMass.16,WetMass.17,WetMass.18,WetMass.19,WetMass.20,WetMass.21,WetMass.22,WetMass.23,WetMass.24,WetMass.25,WetMass.26,WetMass.27,WetMass.28,WetMass.29,WetMass.30,WetMass.31,WetMass.32,WetMass.33,WetMass.34,WetMass.35,WetMass.36,WetMass.37,WetMass.38,WetMass.39
200,15.4,Cymbopetalum baillonii,Covered,Unprotected,,20,0.4,5.73,0.34,,1.38,0.61,16,0.213,3.400,21.211,0,0.29,21.211,25.222,0,25.222,0.34,22.406,0,22.406,0.28,,,0,0.36,,,0,0.56,,,0,0.21,,,0,0.29,,,0,0.42,,,0,0.12,,,0,0.16,,,0,0.09,,,0,0.19,,,0,0.06,,,0,0.01,,,0,0.01,,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,
202,24.2,Sapindus saponaria,Exposed,Protected,,10,0.4,2.83,,0.04,0.87,1.15,6,0.128,0.770,30.524,0.037,0.22,30.561,,,0,0.15,,,0,0.04,,,0,0.21,,,0,0.14,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
203,24.2,Sapindus saponaria,Exposed,Protected,,14,0.5,5.22,,0.07,1.05,2.26,6,0.307,1.840,42.419,0.008,0.33,42.427,,,0,0.79,,,0,0.16,,,0,0.13,,,0,0.12,,,0,0.31,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
204,24.2,Sapindus saponaria,Exposed,Protected,,13,0.5,6.31,,0.13,1.49,2.86,9,0.203,1.830,34.3,0.007,0.27,34.307,,,0,0.36,,,0,0.19,,,0,0.24,,,0,0.3,,,0,0.24,,,0,0.11,,,0,0.06,,,0,0.06,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
205,24.2,Cymbopetalum baillonii,Exposed,Protected,,30,0.6,14.15,,,3.64,0.85,23,0.420,9.660,31.896,0,0.46,31.896,55.731,0,55.731,0.88,61.47,0,61.47,1.18,,,0,0.92,,,0,0.66,,,0,0.59,,,0,0.53,,,0,1.52,,,0,0.88,,,0,0.39,,,0,0.21,,,0,0.13,,,0,0.22,,,0,0.16,,,0,0.11,,,0,0.14,0.18,0.1,0.18,0.12,0.06,0.03,0.01,,,,,,,,,,,,,,,,
206,24.2,Sapindus saponaria,Exposed,Protected,,17,0.5,7.19,,0.13,1.86,3.19,7,0.287,2.010,70.851,0.122,0.53,70.973,,,0,0.04,,,0,0.33,,,0,0.05,,,0,0.6,,,0,0.11,,,0,0.35,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
211,24.2,Cymbopetalum baillonii,Exposed,Protected,,18,0.4,4.56,0.25,,1.04,0.46,15,0.187,2.810,16.602,0,0.21,16.602,12.701,0,12.701,0.18,11.206,0,11.206,0.13,,,0,0.61,,,0,0.36,,,0,0.26,,,0,0.22,,,0,0.09,,,0,0.16,,,0,0.17,,,0,0.17,,,0,0.07,,,0,0.11,,,0,0.06,,,0,0.01,,,0,,,,,,,,,,,,,,,,,,,,,,,,
211,24.2,Sapindus saponaria,Covered,Protected,,10,0.2,0.78,,0.03,0.28,0.2,5,0.054,0.270,10.193,0.002,0.05,10.195,,,0,0.07,,,0,0.04,,,0,0.07,,,0,0.04,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
212,24.2,Sapindus saponaria,Covered,Protected,,12,0.3,1.14,,0.05,0.31,0.32,7,0.066,0.460,19.342,0.018,0.1,19.36,,,0,0.04,,,0,0.12,,,0,0.04,,,0,0.04,,,0,0.08,,,0,0.04,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
225,24.2,Sapindus saponaria,Exposed,Unprotected,,22,0.8,14.75,,0.44,3.3,4.56,13,0.496,6.450,72.206,0.016,0.64,72.222,,,0,0.71,,,0,0.71,,,0,0.52,,,0,0.3,,,0,0.71,,,0,0.65,,,0,0.58,,,0,0.45,,,0,0.34,,,0,0.49,,,0,0.2,,,0,0.15,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
